open,high,low,close,Volume BTC,Volume USDT,sentiment,group,Date,time_idx
9641.94,9685.71,9630.0,9670.0,1398.55,13514616.89,0.370454545,BTC,2020/2/15 09:00,24522
9630.03,9669.0,9628.14,9641.94,1280.14,12354104.34,0.370454545,BTC,2020/2/15 08:00,24521
9666.24,9674.83,9600.01,9630.03,1527.96,14724844.72,0.370454545,BTC,2020/2/15 07:00,24520
9610.63,9690.0,9593.34,9666.24,2827.19,27249022.52,0.370454545,BTC,2020/2/15 06:00,24519
9583.06,9615.34,9559.05,9610.63,1550.17,14865972.94,0.370454545,BTC,2020/2/15 05:00,24518
9581.53,9599.49,9567.43,9583.06,679.0,6506729.95,0.370454545,BTC,2020/2/15 04:00,24517
9577.18,9588.09,9558.24,9581.53,827.44,7922014.15,0.370454545,BTC,2020/2/15 03:00,24516
9596.31,9622.44,9529.0,9577.18,2082.76,19960114.37,0.370454545,BTC,2020/2/15 02:00,24515
9560.01,9615.0,9534.82,9596.31,2112.5,20238266.61,0.370454545,BTC,2020/2/15 01:00,24514
9561.03,9580.0,9551.25,9560.01,1406.71,13458826.08,0.370454545,BTC,2020/2/15 00:00,24513
9559.29,9590.0,9544.97,9561.03,1776.49,16994667.64,0.370454545,BTC,2020/2/14 23:00,24512
9580.71,9593.49,9520.03,9559.29,2110.61,20185007.39,0.370454545,BTC,2020/2/14 22:00,24511
9584.8,9597.55,9486.05,9580.71,3116.28,29749809.35,0.370454545,BTC,2020/2/14 21:00,24510
9598.29,9614.0,9577.0,9584.8,1862.93,17872313.53,0.370454545,BTC,2020/2/14 20:00,24509
9618.57,9646.43,9549.66,9598.29,3031.27,29103595.44,0.375,BTC,2020/2/14 19:00,24508
9591.07,9620.12,9568.2,9618.57,2172.82,20839521.28,0.375,BTC,2020/2/14 18:00,24507
9523.79,9622.01,9522.18,9591.07,4149.25,39754500.22,0.375,BTC,2020/2/14 17:00,24506
9507.0,9538.0,9500.79,9523.79,1408.91,13416332.89,0.375,BTC,2020/2/14 16:00,24505
9506.32,9531.34,9492.06,9507.0,1534.2,14601979.92,0.375,BTC,2020/2/14 15:00,24504
9517.63,9539.0,9485.98,9506.32,1781.41,16945860.88,0.375,BTC,2020/2/14 14:00,24503
